Date,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2/27/2013,2013,2,27,‡,4.9,,-7.5,,-1.3,,19.3,,0,,0,,0,,0,,3,,28,,39,
2/28/2013,2013,2,28,‡,6.4,,-5.1,,0.7,,17.3,,0,,0,,0,,0,,1,,28,,39,
3/1/2013,2013,3,1,‡,10.7,,-2.5,,4.1,,13.9,,0,,0,,0,,0,,1,,8,,32,
3/2/2013,2013,3,2,‡,,,,,,,,,,,,,,,,,,,,,,
3/3/2013,2013,3,3,‡,-3.8,,-5.7,,-4.8,,22.8,,0,,0.4,,11.6,,8.8,,7,,35,,63,
3/4/2013,2013,3,4,‡,-5.1,,-10.5,,-7.8,,25.8,,0,,0,,1.2,,1,,15,,35,,37,
3/5/2013,2013,3,5,‡,-6.8,,-12,,-9.4,,27.4,,0,,0,,0,T,0,T,15,,,,<31,
3/6/2013,2013,3,6,‡,-6.4,,-10.2,,-8.3,,26.3,,0,,0,,4.4,,4.4,,15,,17,,35,
3/7/2013,2013,3,7,‡,-7.4,,-13,,-10.2,,28.2,,0,,0,,2.2,,1.2,,14,,,,<31,
3/8/2013,2013,3,8,‡,0.5,,-12.4,,-6,,24,,0,,0,,0,,0,,11,,20,,32,
3/9/2013,2013,3,9,‡,,,,,,,,,,,,,,,,,,,,,,
3/10/2013,2013,3,10,‡,,,,,,,,,,,,,,,,,,,,,,
3/11/2013,2013,3,11,‡,-0.7,,-5.4,,-3.1,,21.1,,0,,0,,0,,0,,3,,33,,52,
3/12/2013,2013,3,12,‡,4.8,,-6.8,,-1,,19,,0,,0,,0,,0,,3,,,,<31,
3/13/2013,2013,3,13,‡,,,,,,,,,,,,,,,,,,,,,,
3/14/2013,2013,3,14,‡,,,,,,,,,,,,,,,,,,,,,,
3/15/2013,2013,3,15,‡,-6.9,,-13.8,,-10.4,,28.4,,0,,0,T,0,,0,T,3,,35,,35,
3/16/2013,2013,3,16,‡,-8.6,,-12.8,,-10.7,,28.7,,0,,0,,0,T,0,T,3,,15,,35,
3/17/2013,2013,3,17,‡,-10.6,,-15,,-12.8,,30.8,,0,,0,,1.8,,1.4,,2,,36,,52,
3/18/2013,2013,3,18,‡,-2.6,,-15.3,,-9,,27,,0,,0,,0.4,,0.4,,2,,1,,50,
3/19/2013,2013,3,19,‡,2.2,,-13.1,,-5.5,,23.5,,0,,0,,0,,0,,3,,27,,39,
3/20/2013,2013,3,20,‡,13.9,,-3.7,,5.1,,12.9,,0,,0,,0,,0,,1,,18,,39,
3/21/2013,2013,3,21,‡,,,,,,,,,,,,,,,,,,,,,,
3/22/2013,2013,3,22,‡,-3.7,,-11.3,,-7.5,,25.5,,0,,0,,0,,0,,1,,34,,48,
3/23/2013,2013,3,23,‡,-3.4,,-12.8,,-8.1,,26.1,,0,,0,,0,,0,,1,,,,<31,
3/24/2013,2013,3,24,‡,0,,-12.8,,-6.4,,24.4,,0,,0,,0,,0,,1,,13,,33,
3/25/2013,2013,3,25,‡,5,,-8.2,,-1.6,,19.6,,0,,0,T,0,,0,T,0,T,,,<31,
3/26/2013,2013,3,26,‡,,,,,,,,,,,,,,,,,,,,,,
3/27/2013,2013,3,27,‡,,,,,,,,,,,,,,,,,,,,,,
3/28/2013,2013,3,28,‡,,,,,,,,,,,,,,,,,,,,,,
3/29/2013,2013,3,29,‡,,,,,,,,,,,,,,,,,,,,,,
3/30/2013,2013,3,30,‡,10.8,,-1.4,,4.7,,13.3,,0,,0,,0,,0,,,,14,,33,
3/31/2013,2013,3,31,‡,,,,,,,,,,,,,,,,,,,,,,
4/1/2013,2013,4,1,‡,10.4,,-4.6,,2.9,,15.1,,0,,0,,0,,0,,,,14,,43,
4/2/2013,2013,4,2,‡,19.2,,-3.7,,7.8,,10.2,,0,,0,,0,,0,,,,34,,56,
4/3/2013,2013,4,3,‡,,,,,,,,,,,,,,,,,,,,,,
4/4/2013,2013,4,4,‡,6.4,,-2.3,,2.1,,15.9,,0,,0,,0,T,0,T,,,16,,48,
4/5/2013,2013,4,5,‡,5.6,,-3.3,,1.2,,16.8,,0,,0,,0,T,0,T,,,35,,44,
4/6/2013,2013,4,6,‡,,,,,,,,,,,,,,,,,,,,,,
4/7/2013,2013,4,7,‡,-1.9,,-6.6,,-4.3,,22.3,,0,,0,,5.6,,2.6,,1,,4,,33,
4/8/2013,2013,4,8,‡,,,,,,,,,,,,,,,,,,,,,,
4/9/2013,2013,4,9,‡,,,,,,,,,,,,,,,,,,,,,,
4/10/2013,2013,4,10,‡,10.4,,-2.7,,3.9,,14.1,,0,,0,,0,T,0,T,,,34,,57,
4/11/2013,2013,4,11,‡,4.1,,-1.5,,1.3,,16.7,,0,,0.6,,4.8,,5.4,,1,,34,,54,
4/12/2013,2013,4,12,‡,5.9,,-7.2,,-0.7,,18.7,,0,,0,,0,,0,,,,17,,44,
4/13/2013,2013,4,13,‡,,,,,,,,,,,,,,,,,,,,,,
4/14/2013,2013,4,14,‡,,,,,,,,,,,,,,,,,,,,,,
4/15/2013,2013,4,15,‡,-2.8,,-8.8,,-5.8,,23.8,,0,,0.2,,1.4,,1,,8,,35,,33,
4/16/2013,2013,4,16,‡,0.6,,-6.9,,-3.2,,21.2,,0,,0,T,0,,0,T,6,,34,,44,
4/17/2013,2013,4,17,‡,6.4,,-10,,-1.8,,19.8,,0,,0,,0,,0,,2,,18,,37,
4/18/2013,2013,4,18,‡,9.3,,-2.2,,3.6,,14.4,,0,,0,,0,,0,,1,,34,,54,
4/19/2013,2013,4,19,‡,,,,,,,,,,,,,,,,,,,,,,
4/20/2013,2013,4,20,‡,,,,,,,,,,,,,,,,,,,,,,
4/21/2013,2013,4,21,‡,,,,,,,,,,,,,,,,,,,,,,
4/22/2013,2013,4,22,‡,8.9,,-8.4,,0.3,,17.7,,0,,0,,0,,0,,,,,,<31,
4/23/2013,2013,4,23,‡,8.3,,-4.2,,2.1,,15.9,,0,,0,,0,T,0,T,,,32,,67,
4/24/2013,2013,4,24,‡,13.9,,-3.1,,5.4,,12.6,,0,,0,,0,,0,,,,34,,44,
4/25/2013,2013,4,25,‡,17.9,,2.9,,10.4,,7.6,,0,,0,,0,,0,,,,26,,67,
4/26/2013,2013,4,26,‡,,,,,,,,,,,,,,,,,,,,,,
